Accuracy,AUROC,AUPRC,Sensitivity,Specificity,F1
0.9398496240601504,0.9863339275103981,0.9956265036123493,0.9595959595959596,0.8823529411764706,0.9595959595959596
0.916030534351145,0.9828785446762975,0.9925486131631087,0.9662921348314607,0.8095238095238095,0.9398907103825137
0.975609756097561,0.9947826086956523,0.9988461538461539,0.97,1.0,0.9847715736040609
0.9928057553956835,1.0,1.0000000000000002,0.9905660377358491,1.0,0.995260663507109
1.0,1.0,0.9999999999999999,1.0,1.0,1.0
0.9640287769784173,0.9913381123058542,0.9976557916487817,0.9722222222222222,0.9354838709677419,0.9767441860465116
0.94,0.9786335403726708,0.9938222190627103,0.9565217391304348,0.8857142857142857,0.9606986899563319
0.9534883720930233,0.9879256965944272,0.996117709260112,0.9789473684210527,0.8823529411764706,0.96875
0.918918918918919,0.9727123029875324,0.9906973671032049,0.963302752293578,0.7948717948717948,0.9459459459459459
0.9455782312925171,0.9853782581055308,0.9970209412290736,0.9834710743801653,0.7692307692307693,0.967479674796748
0.9126984126984127,0.9758913412563668,0.992651322730049,0.968421052631579,0.7419354838709677,0.9435897435897436
0.9781021897810219,0.9878865979381443,0.9957306735212886,0.9690721649484536,1.0,0.9842931937172775
0.959349593495935,0.9733520336605891,0.9925577751664709,0.9456521739130435,1.0,0.9720670391061452
0.9545454545454546,0.985,0.9943596738678974,0.9875,0.8666666666666667,0.9693251533742331
0.9534883720930233,0.9989053092501369,0.9994834043652331,1.0,0.8571428571428571,0.9666666666666667
0.9615384615384616,0.9876543209876544,0.9974888385099888,0.9689922480620154,0.9259259259259259,0.9765625
0.9555555555555556,0.990990990990991,0.9981145861668902,0.963963963963964,0.9166666666666666,0.9727272727272728
0.9271523178807947,0.965840220385675,0.9918426018133353,0.9586776859504132,0.8,0.9547325102880658
0.9300699300699301,0.9882831181252989,0.99589132040855,0.9803921568627451,0.8048780487804879,0.9523809523809523
0.9393939393939394,0.9845931632161771,0.9967535674292783,0.9701492537313433,0.8064516129032258,0.9629629629629629
0.9477611940298507,0.9727088948787062,0.9932715637651672,0.9716981132075472,0.8571428571428571,0.9671361502347418
0.96,0.9913941480206541,0.9955828572643184,0.963855421686747,0.9523809523809523,0.9696969696969697
0.937007874015748,0.9587362991618311,0.9865429446027096,0.9574468085106383,0.8787878787878788,0.9574468085106383
0.965034965034965,0.988135593220339,0.997660663841808,0.9576271186440678,1.0,0.9783549783549783
0.9830508474576272,0.9933259176863181,0.9975723764258719,1.0,0.9354838709677419,0.9886363636363636
0.9622641509433962,0.9768518518518519,0.9975662601934916,0.9861111111111112,0.7333333333333333,0.9793103448275862
0.9673202614379085,0.983343428225318,0.9967730434395274,0.9921259842519685,0.8461538461538461,0.980544747081712
1.0,1.0,0.9999999999999999,1.0,1.0,1.0
0.9411764705882353,0.978930817610063,0.9946061054316908,0.9811320754716981,0.8,0.9629629629629629
0.9366197183098591,0.9696356275303644,0.9894798072132819,0.9519230769230769,0.8947368421052632,0.9565217391304348
0.9777777777777777,0.9982517482517483,0.9997176736307172,0.974025974025974,1.0,0.9868421052631579
0.9548872180451128,0.977446483180428,0.9951136294021474,0.963302752293578,0.9166666666666666,0.9722222222222222
0.9171974522292994,0.9544719827586207,0.9900891721659211,0.9453125,0.7931034482758621,0.9490196078431372
0.8759124087591241,0.9511904761904763,0.9858380859064829,0.9333333333333333,0.6875,0.92018779342723
0.9666666666666667,0.9849779849779849,0.9960171723243489,0.9743589743589743,0.9393939393939394,0.9785407725321889
0.9618320610687023,0.9812865497076023,0.9939703230037713,0.9473684210526315,1.0,0.972972972972973
0.9440559440559441,0.9778406412069779,0.9913141981808467,0.9603960396039604,0.9047619047619048,0.9603960396039604
0.9574468085106383,0.9912039582188016,0.9973340790835344,0.9626168224299065,0.9411764705882353,0.9716981132075472
0.950354609929078,0.9929618768328446,0.998082019116883,0.990909090909091,0.8064516129032258,0.9688888888888889
0.9523809523809523,0.9795918367346939,0.9943476769577708,0.9795918367346939,0.8571428571428571,0.9696969696969697
0.9818181818181818,0.9963269054178145,0.9991341991341991,0.9772727272727273,1.0,0.9885057471264368
0.9319727891156463,0.9675704412546517,0.9906815943974743,0.9649122807017544,0.8181818181818182,0.9565217391304348
